"File","Locality","Site","Transect","Loc","InsularCoast","Position","Branching","Plate","Foliose","Massive","Pillar","Solitary/ Other","Encrusting","Knobby","Flower Cup"
"agua_t1.rndpts.csv","Los Roques","Cayo Agua","t1","LRQ","Insular","West",14.2857142857143,0,0,82.8571428571429,0,0,2.85714285714286,0,0
"agua_t2.rndpts.csv","Los Roques","Cayo Agua","t2","LRQ","Insular","West",22.5806451612903,0,0,65.5913978494624,0,0,1.0752688172043,8.60215053763441,2.1505376344086
"agua_t3.rndpts.csv","Los Roques","Cayo Agua","t3","LRQ","Insular","West",56.2874251497006,0,0,43.7125748502994,0,0,0,0,0
"agua_t4.rndpts.csv","Los Roques","Cayo Agua","t4","LRQ","Insular","West",47.5728155339806,0,0,44.6601941747573,0,0,0,7.76699029126214,0
"agustin_t1.rndpts.csv","Mochima","San Agustin","t1","MOC","Continental","East",0,0,0,0,0,0,0,0,0
"agustin_t2.rndpts.csv","Mochima","San Agustin","t2","MOC","Continental","East",0,0,0,0,0,0,0,0,0
"agustin_t3.rndpts.csv","Mochima","San Agustin","t3","MOC","Continental","East",0,0,0,100,0,0,0,0,0
"agustin_t4.rndpts.csv","Mochima","San Agustin","t4","MOC","Continental","East",0,0,0,0,0,0,0,0,0
"blanca_t1.rndpts.csv","Mochima","Blanca","t1","MOC","Continental","East",0,1.53846153846154,0,98.4615384615385,0,0,0,0,0
"blanca_t2.rndpts.csv","Mochima","Blanca","t2","MOC","Continental","East",0,0,0,100,0,0,0,0,0
"blanca_t3.rndpts.csv","Mochima","Blanca","t3","MOC","Continental","East",0,0,0,100,0,0,0,0,0
"blanca_t4.rndpts.csv","Mochima","Blanca","t4","MOC","Continental","East",0,0,0,100,0,0,0,0,0
"bs_t1.rndpts.csv","Morrocoy","Boca Seca","t1","MOR","Continental","West",0,0,0,91.6666666666667,0,0,8.33333333333333,0,0
"bs_t2.rndpts.csv","Morrocoy","Boca Seca","t2","MOR","Continental","West",0,0,0,66.6666666666667,0,0,33.3333333333333,0,0
"bs_t3.rndpts.csv","Morrocoy","Boca Seca","t3","MOR","Continental","West",6.25,0,0,81.25,0,0,12.5,0,0
"bs_t4.rndpts.csv","Morrocoy","Boca Seca","t4","MOR","Continental","West",0,0,0,66.6666666666667,0,0,33.3333333333333,0,0
"caiman_t1.rndpts.csv","Morrocoy","Bajo Caiman","t1","MOR","Continental","West",0,0,0,100,0,0,0,0,0
"caiman_t2.rndpts.csv","Morrocoy","Bajo Caiman","t2","MOR","Continental","West",0,0,0,100,0,0,0,0,0
"caiman_t3.rndpts.csv","Morrocoy","Bajo Caiman","t3","MOR","Continental","West",0,0,0,60,0,0,40,0,0
"caiman_t4.rndpts.csv","Morrocoy","Bajo Caiman","t4","MOR","Continental","West",0,0,0,46.6666666666667,0,0,53.3333333333333,0,0
"carabela_t1.rndpts.csv","Mochima","Carabela","t1","MOC","Continental","East",0,0,0,0,0,0,0,0,0
