"File","Locality","Site","Transect","Loc","InsularCoast","Position","Acropora cervicornis","Acropora palmata","Madracis mirabilis","Madracis sp.","Oculina diffusa","Porites porites","Porites sp.","Agaricia sp.","Dichocoenia stokesii","Meandrina meandrites","Porites astreoides","Pseudodiploria clivosa","Pseudodiploria strigosa","Other (Scleractinian plate)","Agaricia agaricites (danai)","Agaricia tenuifolia","Other (Scleractinian foliose)","Agaricia agaricites (agaricites)","Agaricia humilis","Colpophyllia natans","Diploria labyrinthiformis","Isophyllia sp.","Meandrina sp.","Montastrea cavernosa","Orbicella annularis","Orbicella faveolata","Orbicella franksi","Orbicella sp.","Porites branneri","Siderastrea radians","Siderastrea siderea","Siderastrea sp.","Solenastrea sp.","Stephanocoenia intersepta","Other (Scleractinian massive)","Dendrogyra cylindrus","Mussa angulosa","Other (Scleractinian solitary/ other)","Madracis decactis","Other (Scleractinian encrusting)","Eusmilia fastigata","Other (Scleractinian flower cup)","Pseudodiploria sp."
"agua_t1.rndpts.csv","Los Roques","Cayo Agua","t1","LRQ","Insular","West",0,0,14.2857142857143,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2.85714285714286,0,0,0,0,1.42857142857143,5.71428571428571,60,0,5.71428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"agua_t2.rndpts.csv","Los Roques","Cayo Agua","t2","LRQ","Insular","West",0,0,22.5806451612903,0,0,0,0,0,0,0,1.0752688172043,0,0,0,0,0,0,0,0,2.1505376344086,0,0,0,0,41.9354838709677,21.505376344086,0,0,0,0,0,0,0,0,0,0,0,0,8.60215053763441,0,2.1505376344086,0,0
"agua_t3.rndpts.csv","Los Roques","Cayo Agua","t3","LRQ","Insular","West",0.598802395209581,0,55.688622754491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98802395209581,0,0,0,0,23.3532934131737,14.3712574850299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"agua_t4.rndpts.csv","Los Roques","Cayo Agua","t4","LRQ","Insular","West",0.970873786407767,0.970873786407767,44.6601941747573,0.970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94174757281553,0,0,0,0,23.3009708737864,17.4757281553398,0,1.94174757281553,0,0,0,0,0,0,0,0,0,0,7.76699029126214,0,0,0,0
"agustin_t1.rndpts.csv","Mochima","San Agustin","t1","MOC","Continental","East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"agustin_t2.rndpts.csv","Mochima","San Agustin","t2","MOC","Continental","East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"agustin_t3.rndpts.csv","Mochima","San Agustin","t3","MOC","Continental","East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"agustin_t4.rndpts.csv","Mochima","San Agustin","t4","MOC","Continental","East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blanca_t1.rndpts.csv","Mochima","Blanca","t1","MOC","Continental","East",0,0,0,0,0,0,0,0,7.69230769230769,4.61538461538461,0,0,15.3846153846154,0,0,0,0,0,0,63.0769230769231,0,0,0,6.15384615384615,0,0,0,0,0,0,1.53846153846154,0,0,0,1.53846153846154,0,0,0,0,0,0,0,0
"blanca_t2.rndpts.csv","Mochima","Blanca","t2","MOC","Continental","East",0,0,0,0,0,0,0,0,5.49450549450549,0,2.1978021978022,0,24.1758241758242,0,0,0,0,0,0,50.5494505494505,0,0,6.59340659340659,4.3956043956044,0,0,0,0,0,1.0989010989011,3.2967032967033,0,0,2.1978021978022,0,0,0,0,0,0,0,0,0
"blanca_t3.rndpts.csv","Mochima","Blanca","t3","MOC","Continental","East",0,0,0,0,0,0,0,0,0,0,1.47058823529412,0,26.4705882352941,0,0,0,0,0,0,58.8235294117647,0,0,0,11.7647058823529,0,0,0,0,0,0,0,0,0,0,1.47058823529412,0,0,0,0,0,0,0,0
"blanca_t4.rndpts.csv","Mochima","Blanca","t4","MOC","Continental","East",0,0,0,0,0,0,0,0,2.22222222222222,0,1.11111111111111,0,28.8888888888889,0,0,0,0,0,0,64.4444444444444,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bs_t1.rndpts.csv","Morrocoy","Boca Seca","t1","MOR","Continental","West",0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,8.33333333333333,0,0,0,0,0,8.33333333333333,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bs_t2.rndpts.csv","Morrocoy","Boca Seca","t2","MOR","Continental","West",0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0
"bs_t3.rndpts.csv","Morrocoy","Boca Seca","t3","MOR","Continental","West",0,0,0,0,0,6.25,0,6.25,0,0,6.25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bs_t4.rndpts.csv","Morrocoy","Boca Seca","t4","MOR","Continental","West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"caiman_t1.rndpts.csv","Morrocoy","Bajo Caiman","t1","MOR","Continental","West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4285714285714,0,0,0,0,14.2857142857143,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"caiman_t2.rndpts.csv","Morrocoy","Bajo Caiman","t2","MOR","Continental","West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"caiman_t3.rndpts.csv","Morrocoy","Bajo Caiman","t3","MOR","Continental","West",0,0,0,0,0,0,10,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"caiman_t4.rndpts.csv","Morrocoy","Bajo Caiman","t4","MOR","Continental","West",0,0,0,0,0,0,0,0,0,0,86.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
