"Locality","Site","InsularCoast","Position","Scleractinian","Octocorals","Antipatharia","Hidrocorals","Zoanthids","Sponge","Algae","Fleshy.algae","Calcareous.algae","Seagrass","Other.invertebrates","Unknown","Abiotic","latitude","longitude"
"Chichiriviche","La Pared","Continental","Center",9.53333333333332,3.4,0,3.93333333333333,0,1.33333333333333,72.9333333333333,1.46666666666667,4,0,1.26666666666667,0.399999999999999,1.73333333333333,10.554,-67.239
"Chichiriviche","Media Legua","Continental","Center",4.2,8.53333333333333,0,2,3.53333333333333,0.2,74.4666666666667,2,0.933333333333334,0,0,0.333333333333332,3.8,10.555,-67.21
"Chichiriviche","Petaquire","Continental","Center",5.95555555555555,3.73333333333333,0,9.68888888888889,5.77777777777778,1.24444444444444,64.8,1.68888888888889,0.355555555555556,0,0.622222222222223,0.177777777777778,5.95555555555557,10.548,-67.277
"Chichiriviche","Playa Tiburon","Continental","Center",7.77435897435898,1.63076923076923,0,5.09230769230769,0.0666666666666667,0.63076923076923,81.374358974359,0.0666666666666667,0.600000000000002,0,0.399999999999999,0.133333333333333,2.23076923076923,10.547,-67.267
"Chichiriviche","Punta de Media Legua","Continental","Center",5.93333333333334,10.4,0,4,2.4,0.733333333333333,68.3333333333333,0.333333333333333,0.666666666666668,0,0,0.133333333333333,7.06666666666666,10.557,-67.203
"Chichiriviche","Punta Mono","Continental","Center",8.8,9.06666666666668,0,5.46666666666667,1.73333333333333,0.733333333333334,66.7333333333333,0.133333333333333,0.600000000000002,0,0.666666666666666,0.2,5.86666666666667,10.551,-67.252
"Cubagua","Charagato","Insular","East",3.86666666666666,42.4666666666667,0,7.93333333333332,0,0.733333333333333,7.59999999999999,1.8,0,0,0.133333333333333,1,34.4666666666667,10.816,-64.227
"Cubagua","La Muerta","Insular","East",4.57619047619048,20.4761904761905,0,0,0.980952380952382,0.414285714285714,20.5285714285714,16.7523809523809,0,0,0,0.142857142857143,36.1285714285714,10.8,-64.217
"Cubagua","Punta Conejo","Insular","East",4.46666666666667,1.53333333333333,0,0,1.13333333333333,8.86666666666665,31.3333333333333,32.3333333333333,0.0666666666666667,0,0.333333333333333,1.46666666666667,18.4666666666667,10.83,-64.165
"Los Frailes","Cominoto","Insular","East",6.27142857142858,22.6523809523809,0,5.35714285714286,0.2,0.938095238095238,33.6285714285714,2.60952380952381,0,0,1.23333333333333,1.14285714285714,25.9666666666667,11.215,-63.768
"Los Frailes","La Pecha","Insular","East",0.0666666666666667,26.9333333333334,0,10.0666666666667,3.73333333333333,0.2,31.0666666666667,1.8,0,0,0.0666666666666667,0.2,25.8666666666666,11.202,-63.753
"Los Frailes","Puerto Real","Insular","East",6.4,8.53333333333332,0,2.93333333333333,5.99999999999999,2.26666666666667,43.5333333333334,3.46666666666667,0,0,4.86666666666667,2.06666666666667,19.9333333333333,11.188,-63.73
"Los Roques","Cayo de Agua","Insular","West",28.8666666666667,2.46666666666667,0,0.666666666666667,0.4,0.333333333333334,38.4,0.266666666666667,2.53333333333333,0,0,0.466666666666668,25.6,11.817,-66.94
"Los Roques","Cote","Insular","West",19.2666666666667,14.6666666666667,0,6.13333333333333,0.533333333333332,0.133333333333333,42.6666666666667,0.266666666666667,8.19999999999999,0,0,0.599999999999999,7.53333333333333,11.773,-66.721
"Los Roques","Dos Mosquises","Insular","West",28.0666666666667,5.86666666666667,0,0.4,0,0.0666666666666667,37.6666666666667,0.666666666666668,1.26666666666667,0,0.133333333333333,1.6,24.2666666666667,11.793,-66.896
"Los Roques","La Venada","Insular","West",25.5333333333333,0.466666666666668,0,1.46666666666667,0,1.86666666666667,13.6,0.0666666666666667,1.93333333333333,0,0,0.2,54.8666666666667,11.879,-66.724
"Los Roques","Las Salinas","Insular","West",11.2666666666666,19.7333333333333,0,1.6,0.133333333333333,0.2,34.1333333333333,5.53333333333333,0.933333333333333,0,0,0.2,26.2666666666667,11.74,-66.807
"Los Roques","Madriski","Insular","West",10.8666666666667,17.5333333333333,0,2.6,0.2,3.86666666666667,36,9.53333333333333,0.533333333333333,0,0,1.26666666666667,17.6,11.94,-66.661
"Los Roques","Rabuski","Insular","West",46.8428571428571,9.23040293040293,0,3.95347985347985,0,2.29413919413919,28.0047619047619,0.333333333333332,1.99523809523809,0,0.076923076923077,2.07655677655678,5.19230769230769,11.882,-66.689
"Mochima","Blanca","Continental","East",20.9333333333333,0,0,21.8,0,0.600000000000001,31.5333333333333,3.66666666666667,9.53333333333333,0,2.4,0.333333333333333,9.2,10.394,-64.335
"Mochima","Carabela","Continental","East",0.933333333333334,0,1.26666666666667,16.2,0,0.4,33.7333333333333,2.26666666666667,1.8,0.0666666666666667,6.73333333333333,0,36.6,10.387,-64.375
"Mochima","Gabarra","Continental","East",2.93333333333333,1.53333333333333,0,13.3333333333333,0,0.800000000000001,34.0666666666667,13.1333333333333,0.533333333333334,0,0.333333333333333,0.0666666666666667,33.2666666666667,10.382,-64.338
"Mochima","Garrapata","Continental","East",26.4060606060606,0,0,4.15151515151515,0,0.624242424242425,47.8060606060606,4.95757575757576,3.10909090909091,0,1.06666666666667,0.133333333333333,11.7454545454545,10.381,-64.338
"Mochima","Punta Cruz","Continental","East",4.66666666666667,0.0666666666666667,0.333333333333334,0.133333333333333,0.8,13.9333333333333,7.99999999999999,37.2,7.26666666666665,0.133333333333333,0.133333333333333,0,27.3333333333333,10.396,-64.368
"Mochima","San Agustin","Continental","East",0.0666666666666667,0,0,7.13333333333333,0,4.13333333333333,35.9333333333334,37.8,0,0,0.133333333333333,0.0666666666666667,14.7333333333333,10.382,-64.347
"Morrocoy","Bajo Caiman","Continental","West",2.26666666666667,33.3333333333333,0,5.46666666666667,1.13333333333334,0.866666666666666,24.0666666666667,3.86666666666667,0.2,0,0,0.999999999999998,27.8,10.851,-68.069
